Foto	Ref.	Dirección	Planta	m²	Nºhab.	Garaje	Precio	Fecha oferta	
	47790	CALLE HELENA DE TROYA, 15	5	43	3	-	650,00 €	20/04/2012	
	58465	CALLE HELENA DE TROYA, 8	3	39,41	2	-	500,00 €	21/08/2013	
	64953	CALLE HERMANOS GARCIA NOBLEJAS, 125	8	81,32	3	-	650,00 €	24/09/2015	
	35242	CALLE HUERTA DEL CONVENTO, 1	4	45	3	-	475,00 €	12/11/2013	
	62847	CALLE HUERTA DEL CONVENTO, 16	4	67,98	3	-	600,00 €	03/11/2014	
	13540	CALLE HUERTA DEL CONVENTO, 3	2	48	3	-	480,00 €	14/01/2013	
	56114	CALLE JARDIN DE LA DUQUESA, 28	4	63,02	3	-	550,00 €	08/04/2013	
	60029	CALLE JARDIN DE LA DUQUESA, 3	2	53,28	1	si	550,00 €	10/03/2015	
	38260	CALLE JARDIN DE LA DUQUESA, 3	2	73,82	2	si	600,00 €	05/05/2015	
	59658	CALLE JUAN BOSCAN, 47	3	48,02	2	-	625,00 €	06/11/2013	
	32997	CALLE JUGLARES, 22	2	89,2	4	-	792,00 €	17/03/2016	
	56104	CALLE LADERA DE LOS ALMENDROS, 12A	2	73,349	2	si	750,00 €	05/04/2013	
	14364	CALLE LADERA DE LOS ALMENDROS, 18	BAJO	84,9	2	si	750,00 €	02/09/2015	
	61695	CALLE LADERA DE LOS ALMENDROS, 18-D	3º	53,9	2	si	750,00 €	28/05/2014	
	61233	CALLE LADERA DE LOS ALMENDROS, 21A	BAJO	101	3	si	775,00 €	08/04/2014	
	50676	CALLE LADERA DE LOS ALMENDROS, 22	5	111,564	4	si	1000,00 €	10/08/2012	
	50430	CALLE LADERA DE LOS ALMENDROS, 22	2	73	2	si	900,00 €	30/07/2012	
	37377	CALLE LADERA DE LOS ALMENDROS, 25	2	87,73	3	si	700,00 €	04/10/2013	
	53757	CALLE LADERA DE LOS ALMENDROS, 25A	BAJO	60,84	2	si	600,00 €	14/01/2016	
	47108	CALLE LADERA DE LOS ALMENDROS, 40	1	76,5	2	si	750,00 €	28/03/2012	
	44465	CALLE LADERA DE LOS ALMENDROS, 40	LOCAL	35,99	1	-	650,00 €	09/01/2012	
	58995	CALLE LAGO BALATON, 6	2	50	2	-	500,00 €	24/09/2013	
	60796	CALLE LAGO VAN, 17	3	57	3	-	550,00 €	21/02/2014	
	45601	CALLE LAS MORAS, 16	BJ	80,44	3	si	750,00 €	18/04/2013	
	63833	CALLE LOS GALLEGOS, 34	4	51,89	2	-	560,00 €	25/03/2015	
	41329	CALLE LOS GALLEGOS, 42	BJ	52,41	2	-	650,00 €	03/10/2011	
	14302	CALLE LOS PERUCHOS, 7	4	85,75	4	si	800,00 €	21/03/2013	
	36724	CALLE LOS PINILLAS, 5	BAJO	60,84	2	-	540,00 €	09/12/2014	
	63318	CALLE MERCURIO, 73	BAJO	44,97	3	-	500,00 €	15/01/2015	
	53744	CALLE MINERVA, 105	5	64,25	2	si	700,00 €	22/01/2014	
	42172	CALLE MINERVA, 131	6	70	2	-	890,00 €	21/10/2011	
	49265	CALLE MINERVA, 151	3	69	2	si	700,00 €	14/06/2012	
	53271	CALLE MINERVA, 25	6	90	2	si	875,00 €	26/11/2012	
	52940	CALLE MINERVA, 35	5	97,371	2	-	750,00 €	13/11/2012	
	14790	CALLE MINERVA, 39	1	109,5	1	si	800,00 €	08/11/2013	
	55050	CALLE MINERVA, 45	5	50,98	2	si	613,00 €	15/02/2013	
	56197	CALLE MOLINO VIEJO, 14	3	77,61	3	si	850,00 €	03/11/2014	
	49543	CALLE MOLINO VIEJO, 14	6	77,56	3	si	847,00 €	25/06/2012	
	30882	CALLE MORAS, 10	1	74,12	3	si	850,00 €	02/12/2013	
	49093	CALLE OMEGA, 28	3	90,83	4	si	974,00 €	08/06/2012	
	49243	CALLE OMEGA, 46	1	68	2	si	700,00 €	14/01/2014	
	8560	CALLE OMEGA, 87	5	87	2	-	900,00 €	18/10/2013	
	62480	CALLE PELOPONESO, 5	1	67,82	2	si	790,00 €	12/09/2014	
	49717	CALLE PERGAMINO, 28	2	65,85	3	si	800,00 €	02/07/2012	
	44427	CALLE PERUCHOS, 15	4	87	4	si	883,00 €	30/01/2012	
	41277	CALLE PINILLAS, 12	1	71	2	-	800,00 €	29/09/2011	
	52768	CALLE PINILLAS, 22	3	80,01	3	si	800,00 €	06/11/2012	
	55477	CALLE PINILLAS, 42	BAJO	66,28	3	si	707,00 €	06/03/2013	
	39205	CALLE RAYA, 14	3	81	4	-	800,00 €	14/11/2012	
	59329	CALLE RINCON DE LA SOLANA, 9A	2	53	3	-	550,00 €	17/10/2013	
	62608	CALLE SACRIFICIO, 25	4	39,6	2	-	600,00 €	01/10/2014	
	21097	CALLE SAN CIPRIANO, 41	3	64,36	3	-	550,00 €	28/05/2014	
	55178	CALLE SAN CIPRIANO, 49	BAJO	56,62	3	-	650,00 €	20/02/2013	
	16627	CALLE SAN CIPRIANO, 67	4	80,22	2	si	680,00 €	17/09/2014	
	7232	CALLE SAN CIPRIANO, 67	3	78,73	2	si	690,00 €	02/12/2014	
	43490	CALLE SAN CIPRIANO, 67	1	48,33	1	-	630,00 €	02/12/2011	
	49545	CALLE SAN CIRIACO, 14	1	50,4	2	-	550,00 €	25/06/2012	
	32859	CALLE SAN CIRIACO, 14	3	50	2	-	600,00 €	13/02/2013	
	35466	CALLE SAN CIRIACO, 16	4	47	3	-	540,00 €	03/04/2013	
	4746	CALLE SAN CIRIACO, 5	3	62	2	-	500,00 €	12/12/2012	
	54892	CALLE SAN CIRPIRIANO, 50-52	4	74	3	-	750,00 €	07/02/2013	
	57688	CALLE SAN FILEMON, 21	4	44,94	2	-	550,00 €	27/06/2013	
	46088	CALLE SAN FILEMON, 3	4	45,11	2	-	600,00 €	27/02/2012	
	3533	CALLE SAN MARCELO, 12	8	56,4	1	-	600,00 €	17/02/2015	
	55568	CALLE SAN MARCELO, 18	3	51,21	1	-	650,00 €	08/03/2013	
	48361	CALLE SOCORRO, 22	1	54	2	-	650,00 €	11/05/2012	
	54142	CALLE VELILLA, 4	BJ	63	4	-	800,00 €	09/01/2013	
	40201	CALLE VILLACARLOS, 17	1	72	2	-	625,00 €	15/12/2014	
	37906	CALLE VILLACARLOS, 5	2	61	3	-	550,00 €	06/11/2013	
	53316	CALLE VILLACARLOS, 9	4	60	3	-	570,00 €	24/01/2014	
	21886	CALLE VILLAJIMENA, 107	3	41,14	2	-	550,00 €	17/11/2015	
	40564	CALLE VILLAJIMENA, 87	5	39,41	2	-	450,00 €	22/01/2016	
	13863	CALLE VILLARDONDIEGO, 12	4	60	3	-	600,00 €	10/03/2014	
	53946	PASEO ARTILLEROS, 2	4	48,52	2	-	590,00 €	28/12/2012	
	43655	PLAZA ALOSNO, 5	5	44,64	3	-	450,00 €	16/05/2013	
	44494	PLAZA DON ANTONIO DE ANDRES, 14	2	40	2	-	500,00 €	30/09/2013	
	52036	PLAZA MUNILLA, 13	2	52,05	3	-	550,00 €	02/02/2016	

Foto	Ref.	Dirección	Planta	m²	Nºhab.	Garaje	Precio	Fecha oferta	
	46871	AVENIDA ALBERTO ALCOCER, 32	5	43	1	-	800,00 €	21/03/2012	
	53142	AVENIDA ALBERTO ALCOCER, 47	3	110,29	3	-	1600,00 €	21/11/2012	
	48885	AVENIDA AMERICA, 45	9	61,11	2	-	800,00 €	30/05/2012	
	64209	AVENIDA BURGOS, 48	3	97,5	4	si	1000,00 €	25/05/2015	
	57405	AVENIDA DE BURGOS, 44	14	89	2	si	900,00 €	30/01/2015	
	53535	AVENIDA DE PÍO XII, 92	10	41,82	1	-	830,00 €	10/12/2012	
	59440	AVENIDA PIO XII, 92	13	62	1	-	900,00 €	18/10/2013	
	60296	AVENIDA RAMON Y CAJAL, 79	3	93,69	2	-	850,00 €	14/01/2014	
	49282	CALLE AGUSTIN DE FOXA, 16	5	31	1	-	690,00 €	13/06/2012	
	51102	CALLE AGUSTIN DE FOXA, 16-18	5	34,5	1	-	750,00 €	04/09/2012	
	63668	CALLE AGUSTIN DE ROJAS, 5	3	48	2	-	620,00 €	04/03/2015	
	40610	CALLE ALFONSO RODRIGUEZ SANTAMARIA, 20	1	57,12	3	-	1000,00 €	21/05/2014	
	52225	CALLE ALUSTANTE, 13	3	67	3	-	850,00 €	16/10/2012	
	36894	CALLE ALUSTANTE, 22	1	62	3	-	800,00 €	23/01/2013	
	54163	CALLE ALUSTANTE, 31	1	85	3	-	900,00 €	10/01/2013	
	55955	CALLE ANASTASIO AROCA, 9	BJO	35	3	-	700,00 €	27/03/2013	
	45374	CALLE ANTONIO PEREZ, 10	3	58,23	2	-	850,00 €	06/02/2012	
	28792	CALLE ANTONIO PEREZ, 13	BAJO	48,35	1	-	900,00 €	21/01/2013	
	28278	CALLE ANTONIO PEREZ, 6	1	34	1	-	600,00 €	08/05/2012	
	14610	CALLE ANTONIO SALCES, 1	2	67	1	si	625,00 €	12/09/2013	
	58639	CALLE ARTURO SORIA, 334	8	108	4	si	1300,00 €	17/09/2014	
	59768	CALLE BAEZA, 7	2	75,87	3	-	890,00 €	13/11/2013	
	64766	CALLE BOLIVIA, 26	1º	41,26	2	-	1000,00 €	25/08/2015	
	61656	CALLE BOLIVIA, 26	1	46,24	2	-	1100,00 €	07/01/2016	
	57054	CALLE BOLIVIA, 28	1	63,81	2	-	850,00 €	21/05/2013	
	24698	CALLE CALERUEGA, 66	2	76,19	2	si	980,00 €	03/03/2016	
	34432	CALLE CANILLAS, 27	4	32,05	1	-	700,00 €	06/06/2014	
	39287	CALLE CANILLAS, 42	3	80	3	-	900,00 €	03/03/2014	
	36555	CALLE CANILLAS, 46	5	54,82	2	-	800,00 €	14/04/2015	
	32941	CALLE CANILLAS, 55	1	51	2	-	750,00 €	07/01/2011	
	62600	CALLE CANILLAS, 76	1	52,5	2	-	750,00 €	05/02/2016	
	51273	CALLE CANILLAS, 84	5	58	3	-	850,00 €	11/09/2012	
	48493	CALLE CANILLAS, 90	1	42,8	1	-	600,00 €	16/05/2012	
	64964	CALLE CARDENAL SILICEO, 10	ATICO	22,65	1	-	480,00 €	25/09/2015	
	43026	CALLE CARDENAL SILICEO, 35	4	64	3	-	850,00 €	16/11/2011	
	50611	CALLE CARDENAL SILICIO, 20	3	37,99	1	-	650,00 €	08/08/2012	
	3261	CALLE CARDENAL SILICIO, 20	5	42	1	-	600,00 €	04/03/2014	
	48783	CALLE CARDENAL SILICIO, 7	6	43,17	2	-	750,00 €	28/05/2012	
	64948	CALLE CARTAGENA, 108	1	49,5	2	-	600,00 €	23/09/2015	
	53871	CALLE CARTAGENA, 113	3	47	1	-	650,00 €	26/12/2012	
	51471	CALLE CARTAGENA, 114	3	60	2	-	800,00 €	20/11/2014	
	49506	CALLE CARTAGENA, 129	2	60	2	-	630,00 €	22/06/2012	
	29242	CALLE CARTAGENA, 174	4	47	2	-	850,00 €	05/06/2014	
	49270	CALLE CHILE, 17	1	72,45	3	-	1000,00 €	13/06/2012	
	32602	CALLE CHILE, 18	3	80	3	-	1100,00 €	09/06/2014	
	46216	CALLE CHILE, 27	3	71,32	3	-	850,00 €	29/02/2012	
	62729	CALLE CLARA DEL REY, 17	5	85	3	-	1200,00 €	16/10/2014	
	47013	CALLE CLARA DEL REY, 32	2	76	3	-	700,00 €	26/03/2012	
	47277	CALLE CLARA DEL REY, 39	5	38,25	1	-	680,00 €	20/01/2014	
	55367	CALLE CLARA DEL REY, 39	4	46	1	-	730,00 €	28/02/2013	
	50559	CALLE CLARA DEL REY, 43	6	68,166	3	-	1200,00 €	03/08/2012	
	51259	CALLE CLARA DEL REY, 44	2	67	3	-	1200,00 €	10/09/2012	
	57729	CALLE CLARA DEL REY, 45	1	63,18	3	-	750,00 €	01/07/2013	
	22752	CALLE COLOMBIA, 25	1	57	3	-	800,00 €	06/03/2013	
	57610	CALLE COLOMBIA, 6	1	61,2	3	-	950,00 €	21/06/2013	
	50857	CALLE CONSTANCIA, 16	4	73	3	-	1100,00 €	21/08/2012	
	53342	CALLE CORAZON DE MARIA, 37	11	63,19	2	-	900,00 €	29/11/2012	
	65668	CALLE CORAZON DE MARIA, 39	8	50	2	-	800,00 €	03/02/2016	
	64091	CALLE CORAZÓN DE MARÍA, 41	7	90	3	-	1400,00 €	07/05/2015	
	20244	CALLE CORAZON DE MARIA, 57	1	26,53	1	-	600,00 €	27/11/2015	
	57677	CALLE CORAZON DE MARIA, 64	1	87	3	-	1300,00 €	26/06/2013	
	48959	CALLE CORAZON DE MARIA, 7	2	36	1	-	690,00 €	01/06/2012	
	56899	CALLE CORAZON DE MARIA, 9	2º	100	3	-	900,00 €	14/05/2013	
	58582	CALLE COSTA RICA, 11	4	50	1	-	750,00 €	29/08/2013	
	38811	CALLE COSTA RICA, 18	1	83	3	-	850,00 €	01/12/2014	
	28457	CALLE COSTA RICA, 32	5	103,85	3	-	1200,00 €	11/01/2013	
	55471	CALLE DE MARCENADO, 7	4	54	2	-	680,00 €	05/03/2013	
	56310	CALLE DOCTOR FLEMING, 11	2	165,60225	5	-	2500,00 €	15/04/2013	
	55157	CALLE DOMINGO FERNANDEZ, 5	1	47	1	-	750,00 €	19/02/2013	
	55156	CALLE DOMINGO FERNANDEZ, 5	1	47	1	-	850,00 €	19/02/2013	
	54278	CALLE DUQUE DE PASTRANA, 3	3º	77,16	2	-	850,00 €	06/05/2014	
	39256	CALLE EUGENIO SALAZAR, 17	3	78	3	-	880,00 €	21/07/2011	
	1723	CALLE FERNANDEZ DE OVIEDO, 20	BAJO	122	2	-	850,00 €	16/05/2014	
	19603	CALLE FRANCISCO GIRALTE, 1	4	71	2	-	1000,00 €	15/03/2016	
	57814	CALLE FRANCISCO VIVIANCOS, 11	1	60,29	3	-	850,00 €	05/07/2013	
	63804	CALLE FRAY BERNARDINO SAHAGÚN, 15	4	114	4	si	1800,00 €	20/03/2015	
	24304	CALLE GABRIEL LOBO, 15	2	36	1	-	590,00 €	29/12/2015	
	19011	CALLE GABRIEL LOBO, 16	ATICO	46,36	1	si	1275,00 €	19/02/2013	
	63338	CALLE GABRIEL LOBO, 28	3	59,8	2	-	900,00 €	16/01/2015	
	40462	CALLE GARCIA LUNA, 5	3	54	2	si	900,00 €	02/09/2014	
	58216	CALLE GENERAL ZABALA, 33	1	36	1	-	650,00 €	31/07/2013	
	59578	CALLE GUATEMALA, 5	5	57	3	-	900,00 €	30/10/2013	
	39559	CALLE HERREROS DE TEJADA, 10	BAJO	62	2	-	700,00 €	05/08/2011	
	39070	CALLE HERREROS DE TEJADA, 10	1	64,19	2	-	800,00 €	22/02/2013	
	62259	CALLE HONTORIA DEL PILAR, 5	8	45,72	1	-	700,00 €	11/08/2014	
	64781	CALLE HORCAJUELO, 3	BJ	86	3	-	1000,00 €	27/08/2015	
	54553	CALLE INFANTA MARIA TERESA, 17	4	140,76	4	-	1700,00 €	24/01/2013	
	56645	CALLE JAZMIN, 22	4	100	3	-	1000,00 €	03/05/2013	
	21610	CALLE JAZMIN, 78	1	76,68	2	-	800,00 €	02/03/2016	
	65522	CALLE JUAN HURTADO DE MENDOZA, 13	7	56,69	2	si	1125,00 €	08/01/2016	
	57785	CALLE LOPEZ DE HOYOS, 139	BJ	36	1	-	465,00 €	03/07/2013	
	9743	CALLE LOPEZ DE HOYOS, 158	2	64,85	3	-	850,00 €	10/02/2014	
	58280	CALLE LOPEZ DE HOYOS, 178	5	76,5	2	-	1200,00 €	06/08/2013	
	64757	CALLE LOPEZ DE HOYOS, 180	3	45	2	-	700,00 €	23/11/2015	
	51935	CALLE LOPEZ DE HOYOS, 184	1	55,58	3	-	850,00 €	04/10/2012	
	1695	CALLE LOPEZ DE HOYOS, 69	4	50	2	-	750,00 €	09/06/2014	
	38644	CALLE LOPEZ DE HOYOS, 84	5	35,3	1	-	750,00 €	27/06/2011	
	53847	CALLE LOPEZ DE HOYOS, 87	3	29	2	-	590,00 €	26/12/2012	
	59856	CALLE LOPEZ HOYOS, 362	04	44	1	-	750,00 €	21/11/2013	
	52886	CALLE LUIS CABRERA, 18	3	57,6	2	si	1000,00 €	15/04/2015	
	9172	CALLE LUIS DE SALAZAR, 12	2	70,45	1	-	1050,00 €	01/03/2016	
	64401	CALLE LUIS SALAZAR, 12	6	80	2	si	1200,00 €	22/06/2015	
	44769	CALLE MADRESELVA, 6	2	61,9	2	si	1100,00 €	08/07/2013	
	55281	CALLE MADRESELVA, 6	1	58	2	-	950,00 €	25/02/2013	
	46818	CALLE MALCAMPO, 4	2	52	2	-	700,00 €	16/03/2012	
	8739	CALLE MANTUANO, 35	2	40	1	-	500,00 €	11/10/2013	
	39369	CALLE MANTUANO, 6	2	45,98	2	-	900,00 €	28/07/2011	
	35542	CALLE MANUEL FERRERO, 5	6	46,5	1	-	650,00 €	11/12/2012	
	34308	CALLE MANUEL URIBE, 12	3	41	1	si	800,00 €	08/10/2014	
	44382	CALLE MARCENADO, 16	BJ	69,83	4	-	750,00 €	23/02/2012	
	44480	CALLE MARCENADO, 19	2	98,2	3	-	1000,00 €	09/01/2012	
	52107	CALLE MARCENADO, 27	4	54	2	-	700,00 €	11/10/2012	
	58813	CALLE MARCENADO, 27BIS	1	100	4	-	1000,00 €	13/09/2013	
	3567	CALLE MATILDE DIEZ, 19	1	46	1	-	700,00 €	30/06/2014	
	79	CALLE MAURICIO LEGENDRE, 15	8	90,24	4	-	1100,00 €	05/09/2013	
	64928	CALLE MAURICIO LEGENDRE, 17	1	100,68	4	-	1200,00 €	18/09/2015	
	57203	CALLE MAURICIO LEGENDRE, 2	2	115	3	-	1200,00 €	29/05/2013	
	62085	CALLE MAURICIO LEGENDRE, 27	7	63,69	4	-	1000,00 €	15/07/2014	
	53747	CALLE MAURICIO LEGENDRE, 3	2	99	4	-	1000,00 €	18/12/2012	
	55751	CALLE MAURICIO LEGENDRE, 43	6	69	3	si	750,00 €	15/03/2013	
	45097	CALLE MAURICIO LEGENDRE, 45	3	106,16	3	si	1400,00 €	27/01/2012	
	51480	CALLE MAURICIO LEJENDRE, 7	7	98	3	-	900,00 €	14/09/2012	
	65440	CALLE MUGURUZA, 1	7	90	4	-	1250,00 €	17/12/2015	
	49215	CALLE NICARAGUA, 15	4	71	2	-	900,00 €	21/06/2012	
	58811	CALLE NICARAGUA, 9	4	89	3	-	875,00 €	12/09/2013	
	38541	CALLE NUÑEZ MORGADO, 4	1	75	2	-	850,00 €	27/12/2012	
	45335	CALLE NUÑEZ MORGADO, 4	7	48,2	1	-	700,00 €	26/01/2015	
	57293	CALLE OLIANA, 6	3	45,3	3	-	750,00 €	04/06/2013	
	63951	CALLE PABLO LUNA, 10	4	75	3	-	800,00 €	16/04/2015	
	63192	CALLE PABLO LUNA, 10	4	61,92	2	-	650,00 €	23/12/2014	
	49012	CALLE PABLO LUNA, 12	4	65,8	2	-	750,00 €	04/06/2012	
	46922	CALLE PABLO LUNA, 14	2	59,22	2	-	500,00 €	31/07/2015	
	59375	CALLE PABLO LUNA, 14	3	59	2	-	650,00 €	15/10/2013	
	46033	CALLE PABLO LUNA, 6	1	59,22	2	-	850,00 €	23/02/2012	
	28012	CALLE PABLO LUNA, 8	3	65	2	-	600,00 €	23/05/2014	
	45177	CALLE PADRE CLARET, 2	8	60,5	2	-	1100,00 €	30/01/2012	
	9077	CALLE PADRE CLARET, 21	1	60	2	-	1000,00 €	12/01/2009	
	56529	CALLE PADRE CLARET, 32	9	46	2	-	950,00 €	25/04/2013	
	49166	CALLE PADRE INDALECIO HERNANDEZ, 3	5º	58,38	2	-	800,00 €	17/07/2013	
	46772	CALLE PADRE XIFRE, 3	8	67,5	2	-	1100,00 €	15/03/2012	
	9394	CALLE PADRE XIFRE, 5	4	96,2	4	-	1350,00 €	11/01/2013	
	58162	CALLE PANTOJA, 5	3	67	2	si	800,00 €	29/07/2013	
	60046	CALLE PASEO DE LA CASTELLAN, 300	2	61,2	2	-	750,00 €	12/12/2013	
	45791	CALLE PEREZ AYUSO, 11	3	55,06	3	-	850,00 €	12/09/2013	
	179467	CALLE PINTOR RIBERA, 3	5	33	1	-	800,00 €	21/03/2016	
	63038	CALLE POTOSI, 4	4	110,91	3	si	1850,00 €	28/11/2014	
	57622	CALLE PRADENA DEL RINCON, 13	1	79	1	-	890,00 €	21/06/2013	
	65400	CALLE PRADILLO, 17	2	80	3	-	1200,00 €	11/12/2015	
	33401	CALLE PRINCIPE DE VERGARA, 206	5	90,6	3	-	1300,00 €	10/06/2016	
	62560	CALLE PRINCIPE DE VERGARA, 255	4	80,37	3	-	1200,00 €	23/09/2014	
	50138	CALLE PRINCIPE DE VERGARA, 266	2	68,85	3	-	1050,00 €	17/07/2012	
	35168	CALLE PRINCIPE DE VERGARA, 266	BJ	63	3	-	900,00 €	18/01/2013	
	54310	CALLE PRINCIPE DE VERGARA, 275	1	67	3	-	900,00 €	30/06/2015	
	26419	CALLE PRINCIPE VERGARA, 257	2	70,04	3	-	900,00 €	26/07/2013	
	52239	CALLE PUENTEAREAS, 17	4	53	1	-	650,00 €	16/10/2012	
	49924	CALLE PUERTO RICO, 15	6	34,46	1	-	650,00 €	09/07/2012	
	51162	CALLE PUERTO RICO, 35	4	75,6	2	-	900,00 €	01/03/2016	
	56530	CALLE PUERTO RICO, 47	BJ	63	3	-	950,00 €	25/04/2013	
	45562	CALLE QUINTILIANO, 7	2	70	3	-	750,00 €	23/03/2012	
	49203	CALLE RAFAEL HERRERA, 11	2	85	2	-	1100,00 €	11/06/2012	
	61685	CALLE RAFAEL HERRERA, 11	7	41,94	1	-	700,00 €	27/05/2014	
	40579	CALLE SANCHEZ PACHECO, 20	1	53	2	-	750,00 €	10/09/2011	
	56327	CALLE SANCHEZ PACHECO, 33	2	37,26	1	-	500,00 €	16/04/2013	
	56508	CALLE SANCHEZ PACHECO, 49	5	45,9	2	-	750,00 €	24/04/2013	
	44699	CALLE SANCHEZ PACHECO, 60	1	74,99	2	si	1400,00 €	16/01/2012	
	64229	CALLE SÁNCHEZ PACHECO, 60	3	80	2	-	1050,00 €	27/05/2015	
	38789	CALLE SANCHEZ PACHECO, 82	2	43	1	-	710,00 €	19/05/2014	
	37365	CALLE SANTA HORTENSIA, 13	2	83	3	-	800,00 €	29/04/2014	
	63686	CALLE SANTA HORTENSIA, 14	4	64	2	-	750,00 €	06/03/2015	
	38750	CALLE SANTA MARIA DE LA ALAMEDA, 9	1	45,85	1	-	650,00 €	01/07/2011	
	15615	CALLE SOR ANGELA DE LA CRUZ, 9	9	65,7	2	-	980,00 €	06/06/2014	
	38984	CALLE TORPEDERO TUCUMAN, 6	1	75	3	si	1000,00 €	21/01/2013	
	26414	CALLE TORPEDERO TUCUMAN, 6	pb	55	2	-	900,00 €	01/03/2016	
	65239	CALLE URUGUAY, 25	3	60	3	-	800,00 €	11/11/2015	
	37234	CALLE URUGUAY, 33	5	64	2	-	1050,00 €	15/03/2013	
	13800	CALLE URUGUAY, 35	3	62,22	3	-	900,00 €	06/08/2013	
	63726	CALLE URUGUAY, 8	7	110,68	4	-	1500,00 €	13/03/2015	
	50178	CALLE VICTOR DE LA SERNA, 19	7	92,43	4	-	1200,00 €	18/07/2012	
	55944	CALLE VINAROZ, 27	2	32	1	-	500,00 €	27/03/2013	
	60452	CALLE VINAROZ, 32	3	62,82	3	-	660,00 €	24/01/2014	
	55402	CALLE YERMA, 8	7	85	2	si	1350,00 €	01/03/2013	
	44440	CALLE ZABALETA, 23	BJ	63	3	-	800,00 €	05/01/2012	
	41134	CALLE ZABALETA, 29	1	65	2	-	650,00 €	07/03/2014	
	47397	CALLE ZABALETA, 49	3	47,2	1	-	800,00 €	09/04/2012	
	52812	PASAJE CAMPO REAL, 2	1	75,9	3	-	800,00 €	20/11/2014	
	43804	PASAJE DOÑA CARLOTA, 9	BJ	33	1	-	450,00 €	17/07/2013	
	48054	PASAJE DOÑA CARLOTA, 9	BJ	31,14	2	-	650,00 €	27/04/2012	
	45596	PASAJE PRADILLO, 9	2	52,5	3	-	650,00 €	25/11/2013	
	7330	PASAJE SAN PEDRO, 9	3	39,06	1	-	700,00 €	19/01/2016	
	49812	PASEO DE LA CASTELLANA, 205	10	68	3	-	1200,00 €	04/07/2012	
	59533	PASEO DE LA CASTELLANA, 224	3	133,52	4	si	1450,00 €	25/10/2013	
	47281	PASEO DE LA CASTELLANA, 296	2	78	3	-	900,00 €	02/04/2012	
	63007	PASEO DE LA CASTELLANA, 298	3	64,3	2	-	700,00 €	25/11/2014	
	60054	PASEO DE LA CASTELLANA, 298	3	59,22	2	-	600,00 €	13/12/2013	
	49096	PASEO DE LA HABANA, 148-150	4	63	2	-	900,00 €	06/06/2012	
	47359	PASEO DE LA HABANA, 150	1	63	1	si	790,00 €	06/11/2014	
	44978	PLAZA NUESTRA SEÑORA  DEL PILAR, 7	BJ	62,73	2	-	775,00 €	05/09/2013	
	59902	PLAZA NUESTRA SEÑORA DEL PILAR, 7	3	62,73	2	-	650,00 €	27/11/2013	

Foto	Ref.	Dirección	Planta	m²	Nºhab.	Garaje	Precio	Fecha oferta	
	52710	AVENIDA CERRO MILANO, 139	4	43,52	1	si	600,00 €	05/11/2012	
	63149	AVENIDA CERRO MILANO, 139	3	40,46	1	si	650,00 €	15/12/2014	
	15180	AVENIDA CERRO MILANO, 143	2	45,84	1	si	550,00 €	10/12/2012	
	65533	AVENIDA CERRO MILANO, 8	4	42,27	1	si	550,00 €	11/01/2016	
	60677	AVENIDA DE LA GAVIA, 36	6	53,09	1	si	590,00 €	12/02/2014	
	8735	AVENIDA DE LA GAVIA, 39	3	31	1	-	550,00 €	08/10/2013	
	60703	AVENIDA DE LA GAVIA, 39	2	77,9	3	si	920,00 €	13/02/2014	
	55443	AVENIDA DE LA GAVIA, 90	5	38	1	si	500,00 €	04/03/2013	
	50875	AVENIDA DE LA GAVIA, 90	6		1	si	650,00 €	22/08/2012	
	50030	AVENIDA DE LA GAVIA, 90	8	70,41	2	si	850,00 €	12/07/2012	
	5034	AVENIDA DE LAS SUERTES, 55	8	35,51	1	-	600,00 €	04/07/2012	
	56027	AVENIDA DE LAS SUERTES, 55	7	32	1	si	575,00 €	03/04/2013	
	36011	AVENIDA DE LAS SUERTES, 55	5	59,22	2	si	850,00 €	22/12/2015	
	38498	AVENIDA DE LAS SUERTES, 55	3	35,61	1	si	650,00 €	12/02/2014	
	7700	AVENIDA DE LAS SUERTES, 55	3	44,73	1	-	725,00 €	01/04/2014	
	43417	AVENIDA DE LAS SUERTES, 55	2	38,2	1	si	500,00 €	07/05/2013	
	5581	AVENIDA DE LAS SUERTES, 55D	6	59,22	2	-	790,00 €	06/05/2013	
	44443	AVENIDA DE LAS SUERTES, 67- E	4	75,3	3	si	850,00 €	26/03/2012	
	59715	AVENIDA DE LAS SUERTES, 93	5	54	2	si	700,00 €	03/06/2016	
	45726	AVENIDA DE LAS SUERTES, 93	4	30,36	1	-	525,00 €	12/02/2014	
	53690	AVENIDA DE VALDECULEBRAS, 131		131	4	si	1000,00 €	17/12/2012	
	12541	AVENIDA DEL CERRO MILANO, 141	3	50	1	-	600,00 €	09/12/2013	
	63978	AVENIDA DEL CERRO MILANO, 141	5	67	2	si	700,00 €	20/04/2015	
	39263	AVENIDA DEL CERRO MILANO, 141 -143	1	46	1	si	590,00 €	17/11/2014	
	49053	AVENIDA DEL ENSACHE DE VALLECAS, 76	7	70,43	2	-	850,00 €	05/06/2012	
	16048	AVENIDA DEL ENSANCHE DE VALLECAS, 87	7	34,23	1	si	545,00 €	27/07/2009	
	63580	AVENIDA ENSANCHE DE VALLECAS, 106	4	44	1	si	650,00 €	18/02/2015	
	51574	AVENIDA ENSANCHE DE VALLECAS, 108	1	31	1	si	600,00 €	18/09/2012	
