column,start,length
tipo_reg,1,2
blanc1,3,21
cod_del_MEH,24,2
cod_muni_DGC,26,3
blanc2,29,2
parcela_cat,31,14
blanc3,45,6
cprov,51,2
provincia,53,25
cmun_DGC,78,3
cmun_INE,81,3
municipio,84,40
entidad_menor,124,30
cvia_DGC,154,5
tipo_via,159,5
nombre_via,164,25
num_pol1,189,4
bis,193,1
num_pol2,194,4
bis2,198,1
Km,199,5
bloque,204,4
blanc4,208,8
dir_resto,216,25
cod_postal,241,5
distrito,246,2
cmun_origen,248,3
cod_zona_concent,251,2
cod_poligono,253,3
cod_parcela,256,5
cod_paraje,261,5
nombre_paraje,266,30
m2_parcela,296,10
m2_constru,306,7
m2_sobre_ras,313,7
m2_bajo_ras,320,7
m2_cubierta,327,7
x_coor,334,9
y_coor,343,10
blanc5,353,229
refcat_BICE,582,20
denom_BICE,602,65
huso_geo,667,10
